epoch,batch,loss
1,1,2.2667744159698486
1,2,1.9700020551681519
1,3,2.668884754180908
1,4,2.509565591812134
1,5,2.2712416648864746
1,6,2.5056307315826416
1,7,1.6246742010116577
1,8,1.753875732421875
1,9,1.6123828887939453
1,10,1.398128867149353
1,11,3.239654064178467
1,12,3.311138868331909
1,13,1.1815345287322998
1,14,3.1719820499420166
1,15,3.039918899536133
1,16,2.8038125038146973
1,17,1.443593144416809
1,18,1.2337932586669922
1,19,1.4723182916641235
1,20,1.2530326843261719
1,21,1.2110837697982788
1,22,2.144209861755371
1,23,1.378272533416748
1,24,1.0465868711471558
1,25,1.294724464416504
1,26,1.968624472618103
1,27,0.9580320715904236
1,28,0.8962957859039307
1,29,1.8285930156707764
1,30,1.6970634460449219
2,1,0.783176064491272
2,2,0.7567735910415649
2,3,0.6919742226600647
2,4,0.5913251638412476
2,5,0.4661514461040497
2,6,2.726989269256592
2,7,1.7577128410339355
2,8,8.014025688171387
2,9,2.6037933826446533
2,10,1.389298677444458
2,11,1.2022464275360107
2,12,0.7870754599571228
2,13,4.181291103363037
2,14,1.8445711135864258
2,15,4.207607269287109
2,16,1.636610984802246
2,17,3.5276432037353516
2,18,3.433748960494995
2,19,2.750683069229126
2,20,1.5878794193267822
2,21,1.6145124435424805
2,22,1.943582534790039
2,23,1.984798789024353
2,24,2.431943893432617
2,25,2.003995418548584
2,26,2.0305206775665283
2,27,1.9577800035476685
2,28,2.0536816120147705
2,29,1.8507918119430542
2,30,2.4670042991638184
3,1,1.7243058681488037
3,2,1.6609916687011719
3,3,1.5785486698150635
3,4,1.4850242137908936
3,5,2.0130441188812256
3,6,2.385209083557129
3,7,1.2057286500930786
3,8,1.567269206047058
3,9,1.522733211517334
3,10,1.4394608736038208
3,11,0.9661543369293213
3,12,0.9236208200454712
3,13,2.218719005584717
3,14,2.1987805366516113
3,15,2.1007139682769775
3,16,0.8702353239059448
3,17,0.8642220497131348
3,18,1.2280457019805908
3,19,1.6436681747436523
3,20,1.2558696269989014
3,21,0.9252686500549316
3,22,3.6577036380767822
3,23,1.2129626274108887
3,24,1.1571705341339111
3,25,1.1477460861206055
3,26,0.9927875399589539
3,27,1.238739252090454
3,28,0.8471114635467529
3,29,1.6324200630187988
3,30,0.7191739082336426
