epoch,batch,loss
1,1,2.3987672328948975
1,2,1.8678714036941528
1,3,2.6745429039001465
1,4,1.327772855758667
1,5,2.6242644786834717
1,6,2.72552490234375
1,7,1.5867018699645996
1,8,2.5839669704437256
1,9,2.812718629837036
1,10,2.7431204319000244
1,11,1.2158455848693848
1,12,3.025578260421753
1,13,1.0419282913208008
1,14,2.4690544605255127
1,15,2.9060568809509277
1,16,2.093454599380493
1,17,2.182950258255005
1,18,2.1568055152893066
1,19,1.20158052444458
1,20,3.470668315887451
1,21,1.7546970844268799
1,22,1.935453176498413
1,23,1.5631201267242432
1,24,1.4181509017944336
1,25,1.2578637599945068
1,26,1.0784839391708374
1,27,2.0716912746429443
1,28,4.070576190948486
1,29,2.133150100708008
1,30,2.1158599853515625
2,1,2.0559539794921875
2,2,1.8958230018615723
2,3,0.7975580096244812
2,4,1.5852560997009277
2,5,2.1794686317443848
2,6,2.0407257080078125
2,7,1.2592734098434448
2,8,0.9393768906593323
2,9,3.840546131134033
2,10,1.9255179166793823
2,11,1.5096070766448975
2,12,1.5825328826904297
2,13,0.7914451956748962
2,14,0.7531654238700867
2,15,0.6347848176956177
2,16,0.6862607598304749
2,17,5.089313983917236
2,18,0.5502117872238159
2,19,0.5462085604667664
2,20,1.8649632930755615
2,21,2.013105869293213
2,22,0.4651102125644684
2,23,2.068153142929077
2,24,2.042996644973755
2,25,3.4734909534454346
2,26,0.447559118270874
2,27,0.42286208271980286
2,28,1.7264657020568848
2,29,2.0206220149993896
2,30,1.9938606023788452
3,1,0.6298408508300781
3,2,0.8098933696746826
3,3,0.683998703956604
3,4,3.7020323276519775
3,5,4.460666179656982
3,6,1.6472525596618652
3,7,4.507960319519043
3,8,1.5862035751342773
3,9,1.5199899673461914
3,10,1.5795764923095703
3,11,1.4953781366348267
3,12,1.3209308385849
3,13,1.3385144472122192
3,14,1.4748992919921875
3,15,1.1170240640640259
3,16,1.6687612533569336
3,17,1.6589611768722534
3,18,0.9024337530136108
3,19,1.700775384902954
3,20,1.6906933784484863
3,21,1.781482219696045
3,22,3.617703914642334
3,23,1.752648949623108
3,24,1.7361760139465332
3,25,1.512808084487915
3,26,1.0110745429992676
3,27,1.2853113412857056
3,28,1.0533952713012695
3,29,1.377101182937622
3,30,1.0186219215393066
